File,Extracted Text,Actual Text,Evaluation
Passport_Application.pdf,,
dot_input\en\General_Request.pdf,"General Request Form 
Date..../......./....... 
Subject ......................... 
To ............................ 
Students name ( Mr./Miss /Mrs.)......................................... 
Student ID Number                                                                1st / 2nd / 3rd / 4th Year student / 
Exchange student From (home university)...................................... 
Major field Tropical Agriculture (International Program)   Faculty of Agriculture 
Phone number..................E- mail.................................. 
Request for 
 Late registration or maintain status (Attach KU 1) 
 Late add or drop (Attach KU 3) 
 Registration over 22 credits for a regular semester or 7 credits for summer session (Attach KU3) 
 Registration less than 9 credits 
 Postpone tuition fee payments for the 1st / 2nd semester, Academic year.............. 
 Other (specify)................................................... 
Reason(s) for the request............................................... 
.................................................................
.................................................................. 
.................................................................
.................................................................. 
                                            Student Signature .................... 
                                                (Mr./Miss/Mrs. ..........................) 
 To  Chairman of BSTA program 
            Approved             For your consideration 
            Denied 
                     Signature..................... 
                       (...........................) 
                                   ..../.../..... 
                                         Advisor 
 To  Dean 
            Approved      For your consideration 
            Denied 
                     Signature.................... 
                                (.Assoc.Prof. Alisara Menakanit) 
                                          ..../.../..... 
                 Chairman of BSTA program 
 Dean’s decision 
            Approved 
            Denied 
                     Signature.................... 
                           (.Assoc.Prof. Surachet Aramrak..) 
                                     ..../.../..... 
             Associate Dean for Academic Affairs 
 To  Director of the Office of the Educational Administration 
           For your further process. 
                     Signature..................... 
                           (.Assoc.Prof. Surachet Aramrak..) 
                                       ..../.../..... 
                           Associate Dean for Academic Affairs 
   (dd/mm/yyyy) 
Bachelor of Science in Tropical Agriculture, International Program 
Faculty of Agriculture, Kasetsart University 
                (Students Advisor) 
BSTA 
No. ......................... 
Date........................ 
...............................",
dot_input\en\Medical_Certificate.pdf,"(1) 
Part 1
Medical Certificate (Driving license) 
Registration Number ...........  
                  To be filled by applicant  
Name (Mr./Mrs./Miss) ....................................................................................................................................................... 
Residential address with postal code ..............................................................................................................................  
........................................................................................................................................................................................... 
Identification number □-□□□□-□□□□□-□□-□,  
I do apply for medical certificate with my health history as follows  
1. My personal specific disease        
□ No □ Yes  (please specify)..............................................................  
2. Accident or Surgery      
□ No □  Yes  (please specify).............................................................  
3. Hospital Admission 
□ No □ Yes  (please specify)..............................................................  
*4. Seizure            
□ No □ Yes  (please specify)..............................................................  
5. Other relevant .............................................................................................................................................................. 
 Signature................................................... 
Date......................................(D/M/Y) 
*Seizure: treatment history produced by doctor in charge must be accompanied to certify that no attack experienced within 1 (one) year.          
            To be filled by doctor     
Place of examination (Hospital / Clinic) with postal code ............................................................................................... 
........................................................................................................................................................................................... 
I’m, Dr. .............................................................................................................................................................................. 
medical practice license No............................................................................................................................................ 
Residential address with postal code .............................................................................................................................. 
........................................................................................................................................................................................... 
I had examined(Mr./Mrs./Miss).............................................on date...................month.......................year.....................  
and revealed as follows bodyweight..................kgs.  Height....................cms. Blood pressure...........................mmHg, 
pulse rate................../min  
General Physical Condition  □ Normal      □ Abnormal (please specify) ........................................................................  
I, hereby, certify that the above person is capable to work, no mental disability or mental retardation                
nor showing of any symptom of drug addiction nor chronic alcoholism and no sign and symptom of the followings:  
(1) Leprosy at contagious or symptomatic stage  
(2) Contagious stage of Tuberculosis  
(3) Symptomatic Elephantiasis 
(4) Others   
Physician Conclusion / Advice..........................................................................................................................................  
........................................................................................................................................................................................... 
Signature.................................................M.D. 
Date............................................(D/M/Y) 
N.B. 
 (1) This form must be certified only by licensed medical practitioner 
(2) Must conclude fitness of applicant. 
(3) This certificate is valid within 1 month from the day of application. 
(4) This medical certification applies only for provisional diagnosis and covers only application for driving license and 
vehicle operators. 
This certification form had been approved by the Thai Medical Council at its 6/2021 meeting on May, 13, 2021  
(2) 
Part 2 ",
dot_input\th\(คลัง)คำขอจดทะเบียนพาณิชย์.pdf,"     แบบ ทพ.
(เฉพาะเจาหนาที่)
เลขรับที่ .....................................
รับวันที่ .....................................
[    ]  สํ านักงานกลางทะเบียนพาณิชย
[    ]  สํ านักงานทะเบียนพาณิชย
        อํ าเภอ ................
        จังหวัด ................
คํ าขอจดทะเบียน
เลขที่คํ าขอเดิม ................................
ทะเบียนเลขที่  .................................
ประเภทคํ าขอ
[    ]  จดทะเบียนพาณิชย (ใหกรอก [1] - [8] สวน [9] - [12] ใหเลือกกรอกตามแตกรณี)
[    ]  จดทะเบียนเปลี่ยนแปลงรายการ [    ] [    ] [    ] [    ] [    ]  ตั้งแตวันที่...........เปนดังนี้ (ใหกรอกเฉพาะรายการซึ่งประสงคจะขอเปลี่ยนแปลง)
[    ]  จดทะเบียนเลิกประกอบพาณิชยกิจ  ตั้งแตวันที่.......................(ใหกรอกรายการเฉพาะใน [1] [2]  และ [5])
[1]   ชื่อผูประกอบพาณิชยกิจ...............................อายุ .......... ป  เชื้อชาติ ............... สัญชาติ  ................
        ที่อยูเลขที่.......... หมูที่........ ตรอก/ซอย.................. ถนน..................... ตํ าบล/แขวง....................
        อํ าเภอ/เขต................... จังหวัด.................... โทรศัพท................... โทรสาร......................
[2]   ชื่อที่ใชในการประกอบพาณิชยกิจ  ภาษาไทย....................................................................
                                                           ภาษาตางประเทศ (ถามี)............................................................
[3]   ชนิดแหงพาณิชยกิจ                                                                                                                        รหัสสํ าหรับเจาหนาที่
(1) ............................................................................
(2)  .............................................................................
(3)  .............................................................................
(4) .............................................................................
[4]   จํ านวนเงินทุนที่นํ ามาใชในการประกอบพาณิชยกิจเปนประจํ า   จํ านวน................... บาท  (..........................)
[5]   ที่ตั้งสํ านักงานแหงใหญ  เลขที่.......... หมูที่........... ตรอก/ซอย...............................................
         ถนน....................... ตํ าบล/แขวง......................... อํ าเภอ/เขต.................................
         จังหวัด................................. โทรศัพท............................. โทรสาร.........................
[6]   ชื่อผูจัดการ ....................................... อายุ..........ป สัญชาติ.................. ที่อยูเลขที่..........
         หมูที่....... ตรอก/ซอย....................... ถนน.......................... ตํ าบล/แขวง.......................
       อํ าเภอ/เขต................... จังหวัด..................... โทรศัพท................. โทรสาร......................
[7]   วันที่เริ่มตนประกอบพาณิชยกิจในประเทศไทย  ตั้งแตวันที่..........................................................
[8]   วันที่ขอจดทะเบียนพาณิชย ...............................................................................      
[9]   รับโอนพาณิชยกิจนี้จาก ......................................... สัญชาติ .............. ที่อยูเลขที่...............
        หมูที่ ......... ตรอก/ซอย..................... ถนน........................ ตํ าบล/แขวง..........................
        อํ าเภอ/เขต................... จังหวัด...................... โทรศัพท................... โทรสาร...................
        ชื่อที่ใชในการประกอบพาณิชยกิจ ...........................................โอนเมื่อวันที่ ............................
        สาเหตุที่โอน ............................................................................................
[10] ที่ตั้งสํ านักงานสาขา  เลขที่ ............... หมูที่ .................... ตรอก/ซอย..................................
        ถนน .......................... ตํ าบล/แขวง.............................. อํ าเภอ/เขต............................
        จังหวัด ............................. โทรศัพท .......................... โทรสาร..............................
        ที่ตั้งโรงเก็บสินคา เลขที่ ................... หมูที่ ................... ตรอก/ซอย...................................
        ถนน .......................... ตํ าบล/แขวง............................ อํ าเภอ/เขต............................
        จังหวัด .............................. โทรศัพท ......................... โทรสาร ...............................
Clear Data",
dot_input\th\(สาธารณสุข)คำขอรับใบอนุญาตทั่วไป.pdf,"คำขอรับใบอนุญาต/ต่ออายุใบอนุญาต 
เขียนที่ ..........สำนักงานเทศบาลตำบลบางปลา........ 
วันที่.....................เดือน......................พ.ศ. ............................. 
ข้าพเจ้า..........................................................................................อายุ..............ปี  สัญชาติ..................................... 
อยู่บ้านเลขที่................................หมู่ที่ 4    ตรอก/ซอย.............................ถนน.....เศรษฐกิจ-บางปลา.................................. 
ตำบล.......บ้านเกาะ......  อำเภอ........เมืองสมุทรสาคร..........  เทศบาล........ตำบลบางปลา.......  จังหวัด......สมุทรสาคร...... 
หมายเลขโทรศัพท์................................................................................................................................................................... 
ขอยื่นคำขอรับใบอนุญาตประกอบกิจการ 
(     )  สถานที่จำหน่ายอาหารหรือสะสมอาหาร  ประเภท...................................................................................... 
         โดยมีพื้นที่ประกอบการ...................................ตารางเมตร 
(     )  กิจการที่เป็นอันตรายต่อสุขภาพ  ประเภท .................................................................................................. 
        มีคนงาน...........................คน    ใช้เครื่องจักรขนาด................................แรงม้า 
(     )  กิจการตลาด  ที่มีการจำหน่าย.................................(เป็นประจำ/เป็นครั้งคราว/ตามวันนัด) 
(     )  กิจการจำหน่ายสินค้าในที่สาธารณะ  จำหน่ายสินค้าประเภท...................................................................... 
         ณ  บริเวณ..........................................................  โดยมีวิธีการ
..................................................................... 
(    )  กิจการรับทำการเก็บ  ขนหรือกำจัดสิ่งปฏิกูลมูลฝอยโดยทำเป็นธุรกิจ  ประเภท 
(   )   เก็บขนขยะสิ่งปฏิกูลโดยมีแหล่งกำจัดที่.......................................................................................... 
(   )   เก็บขนและกำจัดสิ่งปฏิกูล  โดยมีระบบกำจัดอยู่ที่......................................................................... 
(   )   เก็บขนมูลฝอย  โดยมีแหล่งกำจัดที่................................................................................................ 
(   )   เก็บขนและกำจัดมูลฝอย  โดยมีระบบกำจัดอยู่ที่........................................................................... 
ต่อ (เจ้าพนักงานท้องถิ่น)...................................................................พร้อมคำขอนี้  ข้าพเจ้าได้แนบหลักฐานและ
เอกสารมาด้วย   ดังนี้คือ 
1. สำเนาบัตรประจำตัว.........................................................(ประชาชน/ข้าราชการ/พนักงานรัฐวิสาหกิจ) 
2. สำเนาทะเบียนบ้าน 
3. หลักฐานการอนุญาตตามกฎหมายอื่นที่เกี่ยวข้อง  คือ 
................................................................................................................................................................ 
................................................................................................................................................................ 
4. ................................................................................................................................................................ 
5. ................................................................................................................................................................ ",
dot_input\th\(สาธารณสุข)แบบคำขอรับใบอนุญาตกิจการที่เป็นอันตราย.pdf,"แบบคำขอรับใบอนุญาต/ต่ออายุใบอนุญาต 
ประกอบกิจการ ..........................................................................                                            
เขียนที่ ....................... 
วันที่ .... เดือน.........พ.ศ...... 
ข้าพเจ้า (นาย,นาง,นางสาว) 
  เป็นบุคคลธรรมดา  อายุ 
ปี  สัญชาติ 
เลขหมายประจำตัวประชาชนเลขที่                                                
อยู่บ้านเลขที่ 
หมู่ที่   ตรอก/ซอย 
        ถนน 
ตำบล/แขวง 
อำเภอ/เขต........................จังหวัด  
โทรศัพท์ 
โทรสาร  
  เป็นนิติบุคคลประเภท 
จดทะเบียนเมื่อ  
มีสำนักงานอยู่เลขที่ 
หมู่ที่   ตรอก/ซอย............................ถนน 
ตำบล/แขวง 
       อำเภอ/เขต..............................จังหวัด  
โทรศัพท์ 
โทรสาร   
โดยผู้มีอำนาจลงชื่อแทนนิติบุคคลผู้ขออนุญาต ดังนี้ 
/ซอย  
ถนน 
ตำบล/แขวง 
อำเภอ/เขต 
จังหวัด    
1. (นาย,นาง,นางสาว)  
อยู่บ้านเลขที่ 
หมู่ที่              
ตรอก/ซอย 
        ถนน 
ตำบล/แขวง 
อำเภอ/เขต 
จังหวัด  
โทรศัพท์ 
โทรสาร  
2. (นาย,นาง,นางสาว)  
อยู่บ้านเลขที่ 
          หมู่ที่.................................. 
ตรอก/ซอย 
        ถนน 
ตำบล/แขวง 
อำเภอ/เขต 
จังหวัด  
โทรศัพท์ 
โทรสาร  
ขอยื่นคำขอรับใบอนุญาตประกอบกิจการที่เป็นอันตรายต่อสุขภาพต่อเจ้าพนักงานท้องถิ่น ดังนี้ 
1. ชื่อสถานประกอบการ  
ประกอบกิจการ  
ซึ่งเป็นกิจการที่เป็นอันตรายต่อสุขภาพประเภท 
ลำดับที่  
กำลังเครื่องจักรโดยรวม        แรงม้า(กรณีที่เป็นกิจการที่เกี่ยวกับการบริการให้ระบุจำนวนห้อง           ห้อง  
หรือจำนวนที่นั่ง       
ที่นั่ง   กรณีที่เป็นกิจการที่เกี่ยวกับการเลี้ยงสัตว์ให้ระบุจำนวนตัว 
      ตัว) จำนวน
คนงาน  
คน 
2. สถานประกอบการตั้งอยู่เลขที่             ตรอก/ซอย 
ถนน 
ตำบล/แขวง  
อำเภอ/เขต 
          จังหวัด  
โทรศัพท์ 
โทรสาร  
อาคารประกอบการมีเนื้อที่
ตารางเมตร บริเวณสถานประกอบการ (รวมทั้งอาคารประกอบการ) มีเนื้อที่  
ตารางเมตร ที่ดิน
บริเวณสถานประกอบการเป็นของ..............................................................................................................................  
คำขอเลขที่ ........../............ 
(เจ้าหน้าที่กรอก) ",
dot_input\th\10txpu0vd2isk4wo48.pdf,"July 2017 
บันทึกขอความ 
สวนราชการ        กองกลาง     โทร ๐ ๒๕๙๐ ๑๙๓๑ 
ที่   สธ ๐๒๐๑.๐๑/ 
วันที่              
เรื่อง   ขอหนังสือรับรองเงินเดือน/การปฏิบัติราชการ ฉบับภาษาอังกฤษ 
เรียน  ผูอํานวยการกองการตางประเทศ 
ดวย นาย/นาง/นางสาว...........................................................................................................................
(Mr./Mrs./Ms......................................................................................) 
ปจจุบันรับราชการในตําแหนง............................................................ระดับ..........................................................
สังกัด (กลุม/กอง/สถาบัน/สํานัก/กรม)........................................................... 
อัตราเงินเดือน รวมเดือนละ...........บาท เงินเพิ่มอื่น ๆ รวมเดือนละ............................บาท 
บรรจุเขารับราชการตั้งแตวันที่.....................................อายุราชการจนถึงปจจุบัน............ป ..............เดือน 
มีความประสงคจะขอความอนุเคราะหจากกระทรวงสาธารณสุขในการออกหนังสือรับรองเงินเดือน/การปฏิบัติ
ราชการ ฉบับภาษาอังกฤษ จํานวน ..... ....... ฉบับ เพื่อนําไปใชเปนหลักฐานประกอบการดําเนินการยื่นตอ
ตางประเทศ กรณี 
      ขอวีซาเพื่อเดินทางเอง 
             รับรองการเดินทางไปตางประเทศของบุคคลในครอบครัว 
      อื่นๆ (โปรดระบุ) ...................................................................................................................... 
กรณีประสงคใหระบุวันเดินทางในหนังสือรับรอง 
เดินทางตั้งแตวันที่.............เดือน.......................พ.ศ. ................ ถึง วันที่............เดือน......................พ.ศ. ................ 
ตามหลักฐานเอกสารที่แนบมา 
จึงเรียนมาเพื่อโปรดพิจารณาอนุเคราะหออกหนังสือรับรองฯ ดังกลาว จะเปนพระคุณ 
(................................................................) ",
dot_input\th\16wzbcphege884kwkg.pdf,"ค ำขอข้อมูลข่ำวสำร 
เขียนที่.............................................................. 
วันที่............................................................................. 
เรื่อง 
ขอข้อมูลข่าวสารของราชการ 
เรียน ........................................................... 
     ข้าพเจ้า.................................................... ต าแหน่ง/อาชีพ ...................................................... 
อยู่บ้านเลขที่ .................. ต าบล ................................. อ าเภอ .......................... จังหวัด ............................ 
โทรศัพท์ ........................................มีความประสงค์ขอข้อมูลข่าวสาร ดังต่อไปนี้ 
     1.  ........................................................................................................................................... 
     2.  ........................................................................................................................................... 
     3.  ........................................................................................................................................... 
     4.  ........................................................................................................................................... 
     จึงเรียนมาเพื่อด าเนินการให้ตามความประสงค์ของข้าพเจ้าต่อไป 
ขอแสดงความนับถือ 
(ลงชื่อ) ............................................ ผู้ขอ 
(..............................................) 
หมายเหตุ  :  ผู้ขอข้อมูลข่าวสาร 
        1.  ต้องเป็นคนไทย 
        2.  ไม่จ าเป็นต้องมีส่วนได้เสียเกี่ยวข้อง 
        3.  ไม่จ าเป็นต้องบอกเหตุผล ",
dot_input\th\20240815153457_49317.pdf,"ระเบียบมหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา 
ว่าด้วย................................................................................... 
พ.ศ. ๒๕๖๗ 
--------------------------------------- 
ข้อความ.................................................................................................................................... 
.............................................................................................................................................................................. 
.............................................................................................................................................................................. 
ข้อ ๑ ระเบียบนี้เรียกว่า “ระเบียบ................................ 
ข้อ ๒ ระเบียบนี้ให้ใช้บังคับตั้งแต่.........................................................................เป็นต้นไป 
...............................................................................................................................................................................
.............................................................................................................................................................................. 
ข้อ .. ผู้รักษาการตามระเบียบ (ถ้ามีการแบ่งเป็นหมวด ให้นำข้อผู้รักษาการตามระเบียบไป
กำหนดเป็นข้อสุดท้ายก่อนที่จะขึ้นหมวด ๑........................................................................................................ 
............................................................................................................................................................................ 
............................................................................................................................................................................ 
ประกาศ ณ วันที่          สิงหาคม พ.ศ. ๒๕๖๗ 
                                                     (..................................................................) 
                                                 อธิการบดีมหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา ",
dot_input\th\20240815153514_50867.pdf,"ที่  อว ๐๖๕๔.๐๑/......... 
ถึง........................... 
ภาคเหตุ ............................................................................................................................. .... 
............................................................................................................................. .............................................. 
........................................................................................................................................................................... 
.............................................................................................................................................................................. 
ภาคความประสงค์ ................................................................................................................. 
........................................................................................................................ ................................................... 
............................................................................................................................. .............................................. 
............................................................................................................................................................................... 
ภาคสรุป ................................................................................................................................ 
...............................................................................................................................................................................  
มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา 
                                                                                      สิงหาคม ๒๕๖๗ 
สำนักงานอธิการบดี 
โทร.  ๐ ๕๓๙๒ ๑๔๔๔ 
โทรสาร  (ถ้ามี)..................... 
ไปรษณีย์อิเล็กทรอนิกส์  (ถ้มี)............ 
สำเนาส่ง  (ถ้ามี).................................     ",
dot_input\th\20240815153534_99120.pdf," อว ๐๖๕๔.๐๑(๑๕)/ 
มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา 
๑๒๘ ถนนห้วยแก้ว ตำบลช้างเผือก 
อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ 
๕๐๓๐๐ 
สิงหาคม ๒๕๖๗ 
เรื่อง........................................................................... 
เรียน.................................................................... 
อ้างถึง........................................................................  
สิ่งที่ส่งมาด้วย%%............................................................  
ภาคเหตุ..................................................................................................................................... 
.............................................................................................................................................................................. 
.............................................................................................................................................................................. 
ภาคความประสงค์......................................... 
...............................................................................................................................................................................
.............................................................................................................................................................................. 
ภาคสรุป .............................................. 
............................................................. 
................................................. 
                                                                  ขอแสดงความนับถือ 
(....................................................................) 
                                                 อธิการบดีมหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา 
กองกลาง  สำนักงานอธิการบดี 
โทร. ๐ ๕๓๙๒ ๑๔๔๔ ",
